row_num,job_id,title,company,location,description,required_skills,source_url
1,20,Data Scientist - Product,Confidential,Remote,"Designs and implements machine learning models to inform product decisions, managing data exploration and building intuitive dashboards for cross-functional teams.","Python, R, SQL, Machine Learning, Dashboards",https://www.virtualvocations.com/job/data-scientist-3058896-i.html
2,42,Product Analyst - Supply Integration,Confidential,Remote,"Conducts supplier portfolio and quality analysis, using SQL and Python for causal analysis to support commercial initiatives.","SQL, Python, Tableau, Causal Analysis",https://www.virtualvocations.com/job/product-analyst-3060775-i.html
3,48,Senior Product Analyst,Confidential,Remote,"Leads design of scalable data structures for analysis and reporting using SQL and Python, mentoring mid-level analysts on experimentation.","SQL, Python, Data Visualization, Mentoring",https://www.virtualvocations.com/job/senior-product-analyst-2911000-i.html
4,13,Senior Business Intelligence Analyst - Semantic Modeling,,  Remote  ,"Builds dashboards and migrates existing reporting into a centralized semantic model, using advanced SQL for data transformation.",Power BI; SQL; Semantic Modeling; Data Transformation,https://www.virtualvocations.com/job/senior-business-intelligence-analyst-3122436-i.html
5,44,Product Analyst - Customer Engagement,Confidential,Remote,"Conducts exploratory analyses using customer satisfaction data, building dashboards and reports to explain insights to business partners.","SQL, Python, Dashboards, Customer Analytics",https://www.virtualvocations.com/job/product-analyst-2856710-i.html
6,6,Data Analyst,University of Toronto,toronto on,"Supports the Vice-President Research & Innovation portfolio, helping advance the university's research and innovation culture through data-driven insight.","Data Analysis, Reporting, Research Support, Excel",https://www.careerbeacon.com/en/job-4/3467509/university-of-toronto/data-analyst
7,18,Azure Data Engineer (Databricks),Project X Ltd,Toronto ON,"Builds high-quality, reusable ETL patterns and automates scalable data pipelines using DBT and Python to power analytics and business decisions.","Python, DBT, Databricks, ETL, Data Pipelines",https://www.jobbank.gc.ca/jobsearch/jobposting/49892062
8,3,Data Analyst - Fraud Analytics,Robert Half,Toronto ON,"Supports fraud-focused analytics initiatives within a banking environment, working onsite in Toronto.","Data Analysis, SQL, Fraud Analytics, Banking",https://www.roberthalf.com/ca/en/jobs/etobicoke-on/data-analyst
9,4,Database Analyst,Robert Half,  Thornhill ON  ,"Combines database expertise with business insight to turn complex information into clear reporting, campaign analysis, and recommendations for a service-focused organization.","SQL, Database Management, Campaign Analysis, Reporting",https://www.roberthalf.com/ca/en/jobs/etobicoke-on/data-analyst
10,33,Marketing Analyst - SQL & Campaign Analytics,TUPLE (TECHNOLOGY CLIENT),Remote,"Supports campaign performance analysis and marketing analytics for a technology company, working with CRM data and building pivot-table reporting.","SQL,Marketing Analytics,CRM,Data Modeling",https://themomproject.com/projects/senior-associate-consumer-promotions-strategy-100-remote-52c155c9bb
11,14,Business Intelligence Analyst - FP&A,Confidential,Remote,Develops reporting tools and automates FP&A analytics to increase data accessibility for financial analysts and cross-functional finance teams.,"Financial Analytics, Automation, Reporting Tools, Excel",https://www.virtualvocations.com/job/business-intelligence-analyst-3115681-i.html
12,9,Power BI Analyst,CONFIDENTIAL (ENTERPRISE),Remote,"Leads the strategic design and maintenance of BI applications, focusing on data modeling and building self-service reporting for business users.","Power BI,Data Modeling,Business Intelligence,Report Development",https://hireaniner.charlotte.edu/jobs/e4d33e2995f486bd8555b4ca47317f2a
13,27,Data Quality Analyst,Planta Greenhouses,Maple ON,"Supports data quality initiatives, validating and reconciling data to ensure accuracy across business reporting systems.","Data Quality, SQL, Data Validation, Excel",https://on.jobbank.gc.ca/marketreport/jobs/17882/22437
14,7,Business Intelligence Analyst,Confidential (Data Center Operations),  Remote  ,"Develops and enhances BI reports and dashboards in Power BI, integrating data from multiple tools to support procurement and supplier management.",Power BI; Data Visualization; Dashboards; Stakeholder Management,https://www.virtualvocations.com/job/business-intelligence-analyst-3120050-i.html
15,35,Marketing Analytics Analyst,Jobgether,Remote,"Analyzes marketing performance across paid media, CRM, and email channels, consolidating datasets into clear reporting packages for stakeholders.","SQL, Excel, Marketing Analytics, Reporting",https://www.growthtalent.org/jobs/data-analytics/jobgether/marketing-analytics-analyst-jobgether.md
16,5,Data Scientist,,Cambridge ON,Develops statistical and machine learning solutions connecting market information with sales and inventory performance for an automotive organization.,"Python,Machine Learning,Statistics,Business Insights",https://www.roberthalf.com/ca/en/jobs/etobicoke-on/data-analyst
